corps,titre,avis
"Vu le prix je ne m’attendais pas à quelque chose de qualitatif mais là c’est vraiment de la m****. À peine sorti de l’emballage j’en avais déjà un de cassé, d’autres on suivi le même chemin au bout d’une journée. En fait je crois que c’est un bon achat pour faire des photos sur Instagram. J’ai jeté 15€ par la fenêtre. PS: si vous avec un coup un peu fort, oubliez direct.",Très (trop) moyen...,négatif
Très satisfaite. Les boucles sont légères avec de belles couleurs. Envoi rapide. Je recommande pour celles qui aiment le bleu.,Tres bien,positif
"Jolie créole, mais ne tienne pas . Au bout de 6 mois la fermeture c est décrochée . Je ne conseil pas cette achat.",jolie mais pas solide,négatif
"Odeur persistante de la matière c'est horrible, et fermoir ne tien pas. Sinon rend bien .",BRACELET,négatif
je n'ai pas reçu ce produit. Je demande le remboursement.,la livraison,négatif
"Vue la provenance et le prix, je me doutais que ça serait long à arriver. Mais même les dates indiquées ne correspondaient pas. Il était destiné à offrir pour Noël mais n'est pas arrivé à temps. Il est arrivé le 26 décembre alors que je l'ai commandé 3 semaines avant. Dommage.",Livraison très longue,négatif
Produit jamais reçu mais remboursé c'est déjà ça . . . . . . . . . . .. .,Jamais reçu,négatif
"Conforme à la photo, bon rapport qualité/prix. Convient très bien à un cou fin comme le mien , boucle réglable à souhait,",Conforme,positif
"RAS conforme à la description, très jolis",Parfait,positif
"Très joli bracelet, fin et stylé, présenté dans un écrin blanc et motifs dorés et un certificat d'authenticité. Une belle idée pour un cadeau. À recommander.",Bracelet stylé,positif
Je recommande ce bracelet de très belle qualité mais il n’est pas fait pour les gros poignets.,Un bijou fantaisie raffiné.,positif
"Perles magnifiques.Tres jolies, la couleur, la taille, les finitions, rien à ajouter juste elles sont parfaites!!!! Ah si le prix imbattable ;).",Je recommande à 100%!,positif
J'aime beaucoup ça change ça donne un autre style et ça plaît. Je ne regrette pas mon achat. Merci au vendeur,C'est cool,positif
Je suis déçue de ce bracelet - je ne peux donc pas le porter Il tombe à mon poignet Ne tient pas sur moi Sinon bonne qualité,Bracelet,négatif
"Très beau collier. La longueur est parfaite, ni trop longue ni trop courte. J'adore vraiment. Très estival. Correspond parfaitement à la description.",Un très beau collier,positif
Vraiment satisfaite de mon achat Le collier et comme sur la photo voir même plus beau,Raffiné et tendance,positif
Je l’ai acheter pour ma soeur en cadeau elle l’adore. La chaîne n’est ni trop longue ni trop courte le « diamant » brille. Magnifique,Collier,positif
le bijou et le collier sont minuscules..Ce produit irait a une jeune enfant mais en aucun cas à une adulte.De plus ce produit fait toc contrairement aux images et ne vaut absolument pas le prix auquel il est vendu.,tout petit.conviendrait a une jeune enfant.,négatif
"Article reçu très rapidement. Par contre.... ne correspond pas du tout à ce que l'on nous vend dans la description. la chaine est d'un classique affligeant (on dirait du toc) et que dire du pendentif, de la même trempe. Avec un prix de départ affiché de 199 E 99, on se dit qu'avec une réduction de 181 Euros on fait une sacrée bonne affaire.Sauf que... Non ! - Destiné à être offert je me sens vraiment mal à l'aise et il est trop tard pour le retourner.",Quelle déception !,négatif
Cadeau pour ma fille 👧,Il fait plus grand en photo. Mignon,positif
"Reçu très rapidement et conforme aux photos. Très beau pendentif et très belle chaîne également, contrairement à ce que j'ai pu lire ! Elle n'est absolument pas faite grossièrement. Elle risque en effet de déplaire aux personnes recherchant une chaîne extrêmement fine mais elle convient aussi bien aux femmes qu'aux hommes. Le pendentif ne s'ouvre en effet qu'à 45 degrés mais là encore je ne trouves pas ça trop gênant. Il est possible de mettre une photo de taille convenable. Je suis très satisfaite de mon achat, la qualité à l'air d'être là, à voir sur la durée mais je suis assez optimiste.",Conquise !,positif
"Cet article ne correspond pas du tout à ce que j'attendais. Je n'ai pas fait attention aux mesures, résultat, elles sont très petites, je n'ai même pas pu les enfiler.",TROP PETIT,négatif
C'est le cadeau de noël pour mon père et je suis certaine que sa va lui plaire . Je l'ai recu dans un bel écrin et dans une pochette toute douce Satisfaite,Très satisfaite,positif
article qui ce décroche 2 e me fois acheter car perdu premier et celui ci fera pareille car ce décroche tout le temps,article souvre,négatif
super tres bon produit,bague,positif
"Un très bel effet pour ce bracelet, c'est un beau cadeau à faire, celui là je l'ai gardée pour moi.. seul petit souci fermeture pas évidente du tout.",Très bel effet,positif
"Commandé pour une amie de mon ado. J'ai ouvert le carton d'emballage mais pas la boite qui contenait les bracelets parce qu'elle était scellé par un plastique. N'ai donc pas vu le produit en lui même et serait incapable d'en dire quelque chose mais je n'ai pas eu de retour négatif de la part de cette amie, donc doit être satisfaite Livraison effectué dans le délai et emballage correct.",Que dire ....,positif
Très beau rendu convient pour tout les jours attache pratique.Avoir dans le temps en espérant qu’elles resteront brillantes et propre,Boucle d’oreille,positif
J ai du le renvoyé le produit est arrivé détérioré,Reçu détérioré,négatif
Je l'ai acheté pour arrondir mes bagues en or et en argent qui ont tendances à se déformées et je le trouve très pratique pour mon utilisation.,Qualité correcte,positif
"bijoux très joli ,très petit ,discret",convient enfant ou ado,positif
Bonjour j'aimerais savoir pourquoi mon poignet est bleu avec un pierre. Y a t il des fausses pierres sur ce bracelet? merci du retour car je vois que je ne suis pas seule dans ce cas. Merci Nicole,"pourquoi mon poignet est bleu, une pierre ne déteint pas à ma connaissance",négatif
"Beau produit à un prix équitable. J'ai vu la même chose dans un petit magasin la semaine dernière, au prix de 50 $. Je ne peux pas me le permettre. Je suis heureux de faire un bon choix ici. Cet article est économique et de haute qualité, il a l’air très simple et élégant, je l’aime beaucoup. Je l'achèterai à nouveau dans ce magasin, cela vaut la peine d'être recommandé.",Je l'aime beaucoup.,positif
"CELUI LA EST ARRIVE A TEMPS CONTRAIREMENT AUX AUTRES ARTICLES QUI NE SONT JAMAIS ARRIVES. Il A L'AIR BIEN, L'AVENIR NOUS LE DIRA !!",ARRIVE A TEMPS,négatif
"Un peu déçue par l'article . Il est certes rapidement arrivé mais 2 des gouttes ""cristal"" ( strass qui pend) sont arrivées décollées",Diademe de frond,négatif
Beau bijou en argent à un prix très avantageux !,Cadeau à offrir,positif
la gravure est trop superficielle on la perçoit à peine...c'est dommage car la presentation sur le site vendeur elle est plus marquee.,Gravure,négatif
"Comme beaucoup l'ont mis dans les commentaires, ces boucles sont jolies mais vraiment petites ! En plus il y avait une boucle dont le fermoir ne fonctionnait as, j'ai du les renvoyer. Sympa pour une petite jeune.",Jolies mais petites,négatif
Reçu en retard pourquoi j ai mis deux étoile sinon mignonne.,Cadeau retardé 😟,négatif
"parfait au niveau de la livraison, bien conforme à la description et boîte cadeau au top j'espère que mon cadeau fera plaisir car c'est un très joli bracelet avec de belles pierres",très joli,positif
"J'ai commandé cette parure pour offrir à mon amie pour son anniversaire. Impossible !!! Bijoux dans une petite boîte, abîmée, et mis en vrac. Pas présentable pour un cadeau. Livraison avec du retard.",Déçue,négatif
Très jolie pour offrir,Très bien,positif
De base j’en étais contente mais j’ai rapidement déchanté au bout de 2 jours le « diamant » de la bague s’était déjà enlevé,Trop déçue,négatif
"Boucle d'oreille reçu très rapidement.Prix raisonnable 7.99 euros. Poinçon 925. Attention à bien regarder la taille de l'article, en effet elles sont petites (cela me convient cependant ).Une taille au dessus aurait été appréciable pour la prise en main car leur petite taille donne l'impression qu'elle sont fragiles.Elles m'ont l'air de bonne qualité mais du coup je fais très attention lorsque je les mets et quand je les retire.Article que je recommande quand même.",Papillon design argent,positif
Reçu avant la date prévu. Identique à la photo. Je les trouve seulement trop grande j'aurai préféré plus petites mais ça ce sont mes goûts. Si on rien a dire sur le produit.,Boucle,positif
correspond à la description,correspond à la description,positif
"Top, facile à mettre. On peut sentir le poids des anneaux, il y en a que ça peut déranger, pas moi. Emballage soigné et bien fait, j'en été surpris :).",Correspondant à la description.,positif
Produit conforme à la description. Très joli. Pierres de bonne qualité,Joli bracelet,positif
Très beau bijou. Je me l'imaginais un peu plus grand mais pour les amoureux des chats je le recommande. Il est du plus bel effet. La chaîne est assez épaisse ce qui m'a particulièrement plu,Joli collier,positif
Il y a bien deux colliers,très bon rapport qualité prix et expédié très rapidement,positif
"jai retourné mon achat, vraiment toc et trop cher pour ce que cest, je déconseille vivement et suis vraiment décue,bracelet pochette surprise dans les foires....",bracelet,négatif
"Livraison bien longue... Très jolie bague mais très très (trop) fine! La photo laissait présager quelque chose d’un peu plus résistant, la mienne a été brisée en 2 morceaux en moins de 48h, en s’accrochant à mes vêtement! Dommage.",Trop fragile,négatif
super arrivé très vite et correspond à l'annonce merci a +++,correspond à l'annonce,positif
"Très beau produit, mais se vise très mal... Perdu au bout de 3 jours",Ne tient pas,négatif
Un peu lourd autour du cou mais il est vraiment très beau,très beau,positif
La dent c'est très vite décollé et je l ai perdu,Pas top,négatif
Le pendentif est de bonne facture mais la chaine elle nest pas tres solide. Les cristaux ont aussi tendance a s'en aller au fil de temps,Bon produit,positif
Pas de commentaire je n ai pas reçu ma commande une chose j en ai marre d amazon cliente depuis 20ans.,Commande pas recu.,négatif
"Pas cher cassé, reste toujours trop cher...","Est arrivé cassé, dommage...",négatif
"Il n'a eu aucun effet sur une douleur persistante au pouce que je traine depuis plusieurs années, il est joli mais cela ne suffit pas. . .",Joli bracelet sans aucune efficacité pour mes vieilles douleurs,négatif
Très bon produit mais un gros problème pour la gravure il manque une lettre,Bracelet,positif
"Colis reçu comme prévu, correspond au descriptif... Boîte de bonne qualité et bien fini... Très content de mon achat, je la recommande.",Tres pratique,positif
"fait un belle effet l'été, la forme est vraiment très jolie. Achat de qualité / prix et arrivée avant la date prévue",tres jolie bague,positif
La pierre est un peu grosse mais reste jolie,Jolie pierre,négatif
mon amie n'a toujours pas reçu le collier alors que le suivi dit qu il a été livré lundi 11 mars 2019 je suis bien ennuyée car je lui faisait un cadeau je voudrais bien savoir se qui s'est passé merci de me tenir au courrant cordialement,requête,négatif
Produit correspondant au descriptif rad,Bon produit,positif
Déçu de La définition pas terrible dans les côtés 😔 je m’attendais qq chose waw pour son prix comme même ...dommage,La définition,négatif
